success,timestamp,date,base,rates.INR,rates.RUTH,rates.XCU,rates.ALU,rates.NI,rates.ZNC,rates.TIN,rates.LCO,rates.BSD,rates.BTN,rates.BWP,rates.BYN,rates.BYR
TRUE,1629912720,25-08-2021,USD,74.25051538,0.00133404,3.754971857,12.21589375,1.674007319,10.85854875,0.940890915,0.043093925,1.000952146,74.28916674,11.20637634,2.508341112,19605.292
TRUE,1629913020,25-08-2021,USD,74.26106994,0.00133356,3.754794231,12.21259812,1.673873529,10.85985154,0.941003789,0.043096079,1.000782113,74.26837867,11.20805644,2.507213272,19608.036
TRUE,1629913320,25-08-2021,USD,74.21600025,0.001334453,3.752498828,12.20745261,1.672664896,10.86549697,0.941154288,0.043109005,1.00066209,74.30253051,11.2057043,2.507864913,19609.604
TRUE,1629913620,25-08-2021,USD,74.23454202,0.001333987,3.753105874,12.21357461,1.672147606,10.86256569,0.94105082,0.043096941,1.000792115,74.25056031,11.20682437,2.508090481,
TRUE,1629913920,25-08-2021,USD,74.20512577,0.001333587,3.756218182,12.21864569,1.67362683,10.86397705,0.941530535,0.043115467,1.000942144,74.31069725,11.20962453,2.508015291,
TRUE,1629914220,25-08-2021,USD,74.2174897,0.001333707,3.754999414,12.21391092,1.673543168,10.86028581,0.941398849,0.043122361,1.000842125,74.30401537,11.21130463,2.507614282,
TRUE,1629914520,25-08-2021,USD,74.16508664,0.001334387,3.75358349,12.21903443,1.673828495,10.85876588,0.941135476,0.043123223,1.000782113,74.25353004,11.2108566,2.507915039,
TRUE,1629914820,25-08-2021,USD,74.19993552,0.001333853,3.754136273,12.21390546,1.673962354,10.85898301,0.941154288,0.043124515,1.001122179,74.25649976,11.20223209,2.506987704,
TRUE,1629915360,25-08-2021,USD,74.23506433,0.001334067,3.750151107,12.21329487,1.673510579,10.86213143,0.940749822,0.043099095,1.000952146,74.31515184,11.20480825,2.507639345,
TRUE,1629915720,25-08-2021,USD,74.21948431,0.00133384,3.748737409,12.21659206,1.673928889,10.86582267,0.940919134,0.043121069,1.000442048,74.29065161,11.21018456,2.50856668,
TRUE,1629916080,25-08-2021,USD,74.18393869,0.0013342,3.746131336,12.21671418,1.673443649,10.86017724,0.940815666,0.04310168,1.000612081,74.30253051,11.2023441,2.508290986,
TRUE,1629916440,25-08-2021,USD,74.1607044,0.001333547,3.745329432,12.21476029,1.67441413,10.85800592,,0.043103835,1.001022159,74.31069725,11.20760841,2.507138083,
TRUE,1629916740,25-08-2021,USD,74.13180109,0.00133416,3.74757636,12.21744689,1.673744833,10.8606115,0.941003789,0.043112882,1.000532065,74.30104565,11.20716039,2.50671201,
TRUE,1629917040,25-08-2021,USD,74.11846111,0.001334347,3.745040955,12.2222095,1.674046016,10.86343422,0.941530535,0.043123223,1.001082171,74.27357569,11.20716039,2.506962641,
TRUE,1629917280,25-08-2021,USD,74.18441994,0.001334227,3.74465138,12.2168363,1.673945622,10.85865732,0.941201319,0.043104265,1.000912138,74.28248486,11.20335216,2.508666932,
TRUE,1629917580,25-08-2021,USD,74.15521958,0.00133348,3.748389513,12.22184315,1.673577508,10.86625693,0.941483504,0.04310685,1.001072169,74.30104565,11.20772042,2.506661884,
TRUE,1629917940,25-08-2021,USD,74.14301779,0.00133408,3.748132537,12.22233162,1.674430862,10.86723403,0.941389443,0.04309651,1.000612081,74.27803027,11.20783242,2.508491491,
TRUE,1629918120,25-08-2021,USD,74.16969781,0.00133424,3.746682276,12.22013349,1.673928889,10.8663655,0.940721604,0.043099957,1.000482056,74.28174243,11.2057043,2.507288461,
TRUE,1629918120,25-08-2021,USD,74.16969781,0.00133424,3.746682276,12.22013349,1.673928889,10.8663655,0.940721604,0.043099957,1.000482056,74.28174243,11.2057043,2.507288461,
